No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Default
472,28,male,1,own,little,little,654,9,car,bad,1
473,36,male,3,own,NA,NA,1238,6,education,good,0
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,1
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,1
476,24,male,2,own,quite rich,NA,2569,39,car,good,0
477,25,male,2,own,little,rich,5152,24,radio/TV,good,0
478,39,male,1,own,moderate,moderate,1037,12,business,good,0
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,0
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,0
481,26,male,2,own,little,moderate,1201,24,car,good,0
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,0
483,30,female,2,own,rich,NA,960,15,furniture/equipment,good,0
484,44,male,2,own,quite rich,NA,1163,12,car,good,0
485,47,male,3,own,little,moderate,1209,6,car,bad,1
486,52,male,2,own,little,NA,3077,12,radio/TV,good,0
487,62,female,2,free,little,NA,3757,24,car,good,0
488,35,male,1,rent,moderate,NA,1418,10,car,good,0
489,26,male,2,rent,little,NA,3518,6,car,good,0
490,26,male,2,own,little,NA,1934,12,radio/TV,good,0
491,42,female,3,free,little,moderate,8318,27,business,bad,1
492,27,female,2,own,moderate,NA,1237,6,radio/TV,good,0
493,38,male,2,own,NA,moderate,368,6,radio/TV,good,0
494,39,male,1,rent,little,little,2122,12,car,good,0
495,20,male,2,own,NA,little,2996,24,furniture/equipment,bad,1
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,1
497,40,male,2,own,little,NA,1585,24,furniture/equipment,good,0
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,0
499,28,male,2,own,moderate,rich,1323,6,car,good,0
500,27,female,2,own,little,little,3123,24,car,bad,1
501,42,male,2,free,little,little,5493,36,car,good,0
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,0
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,1
504,24,female,2,rent,little,little,1207,24,car,bad,1
505,27,male,1,own,NA,NA,1309,10,car,bad,1
506,36,male,2,own,quite rich,rich,2360,15,car,good,0
507,34,male,3,own,moderate,moderate,6850,15,car,bad,1
508,28,male,2,own,little,NA,1413,24,radio/TV,good,0
509,45,male,3,own,moderate,NA,8588,39,car,good,0
510,26,male,2,own,little,little,759,12,car,bad,1
511,32,male,3,free,little,NA,4686,36,car,good,0
512,26,male,2,rent,little,rich,2687,15,business,good,0
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,0
514,54,male,2,own,NA,NA,2255,24,car,good,0
515,37,female,2,own,little,little,609,6,car,good,0
516,40,male,1,own,little,little,1361,6,car,good,0
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad,1
518,43,male,2,own,moderate,little,1203,6,car,good,0
519,36,male,2,free,NA,NA,700,6,radio/TV,good,0
520,44,male,2,free,little,NA,5507,24,repairs,good,0
521,24,female,2,own,little,little,3190,18,radio/TV,bad,1
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,1
523,23,female,2,own,moderate,NA,3488,24,car,good,0
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,0
525,30,male,2,own,little,moderate,7966,26,car,good,0
526,31,female,2,own,moderate,NA,1532,15,education,good,0
527,42,male,1,own,little,NA,1503,4,radio/TV,good,0
528,31,male,2,rent,little,little,2302,36,radio/TV,bad,1
529,41,male,1,own,little,little,662,6,car,good,0
530,32,male,2,own,little,moderate,2273,36,education,good,0
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,1
532,41,male,2,rent,little,NA,1503,12,car,good,0
533,26,male,2,own,moderate,NA,1311,24,radio/TV,good,0
534,25,male,2,own,NA,NA,3105,24,radio/TV,good,0
535,33,male,2,rent,little,rich,2319,21,education,bad,1
536,75,female,3,own,NA,little,1374,6,car,good,0
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good,0
538,42,male,3,free,little,little,7763,48,car,bad,1
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good,0
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad,1
541,60,male,2,free,little,NA,2032,24,car,good,0
542,31,male,2,own,NA,little,6350,30,furniture/equipment,bad,1
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad,1
544,61,male,1,own,little,NA,1255,12,car,good,0
545,43,male,2,free,little,little,1333,24,car,bad,1
546,37,female,2,own,little,NA,2022,24,car,good,0
547,32,male,2,own,little,NA,1552,24,radio/TV,good,0
548,24,female,1,own,little,little,626,12,radio/TV,bad,1
549,35,male,2,free,NA,NA,8858,48,car,good,0
550,23,female,2,own,NA,NA,996,12,repairs,good,0
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,good,0
552,34,male,2,own,little,little,6999,48,radio/TV,bad,1
553,27,male,2,own,moderate,moderate,1995,12,car,good,0
554,67,female,3,own,little,moderate,1199,9,education,good,0
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad,1
556,28,female,2,own,moderate,moderate,2278,18,car,bad,1
557,29,female,2,own,NA,NA,5003,21,car,bad,1
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,1
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad,1
560,49,male,2,free,NA,little,2964,24,car,good,0
561,24,male,1,rent,little,little,1546,24,radio/TV,bad,1
562,29,female,2,own,little,rich,683,6,radio/TV,good,0
563,37,male,2,free,NA,moderate,12389,36,car,bad,1
564,37,male,3,own,NA,moderate,4712,24,business,good,0
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good,0
566,36,male,2,own,little,little,1372,12,car,bad,1
567,34,male,2,own,rich,NA,2578,24,radio/TV,good,0
568,41,male,2,own,NA,moderate,3979,48,radio/TV,good,0
569,31,female,2,own,little,little,6758,48,radio/TV,bad,1
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad,1
571,38,male,2,own,little,NA,5954,30,radio/TV,good,0
572,26,female,3,rent,NA,NA,5433,24,car,good,0
573,22,female,1,own,little,little,806,15,business,good,0
574,27,male,1,own,little,moderate,1082,9,radio/TV,good,0
575,24,female,2,own,little,NA,2788,15,furniture/equipment,good,0
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,0
577,33,female,2,own,NA,NA,1927,24,education,good,0
578,27,male,2,own,little,moderate,2820,36,car,bad,1
579,27,male,1,own,little,NA,937,24,education,good,0
580,30,male,2,own,little,moderate,1056,18,car,bad,1
581,49,male,1,own,little,moderate,3124,12,car,good,0
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,good,0
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,1
584,52,female,3,free,NA,NA,2133,12,car,good,0
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,1
586,36,male,2,rent,little,little,2799,9,car,good,0
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,0
588,47,male,1,own,little,little,1217,18,domestic appliances,bad,1
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad,1
590,58,female,1,own,little,little,385,12,radio/TV,good,0
591,42,female,2,rent,NA,moderate,1965,24,car,good,0
592,36,female,1,own,rich,NA,1572,21,business,good,0
593,20,female,1,rent,little,moderate,2718,24,car,bad,1
594,40,male,3,own,NA,little,1358,24,vacation/others,bad,1
595,32,female,1,own,moderate,moderate,931,6,car,bad,1
596,23,female,2,rent,little,little,1442,24,car,bad,1
597,36,male,1,own,little,moderate,4241,24,business,bad,1
598,31,male,2,own,little,NA,2775,18,car,bad,1
599,32,male,2,free,little,NA,3863,24,business,good,0
600,45,female,2,own,little,moderate,2329,7,radio/TV,good,0
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,1
602,34,female,1,free,little,moderate,1837,24,education,bad,1
603,28,female,3,own,little,NA,3349,36,furniture/equipment,bad,1
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,0
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good,0
606,74,male,3,own,little,NA,4526,24,business,good,0
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad,1
608,33,male,2,own,little,NA,2051,18,radio/TV,good,0
609,45,male,2,free,NA,NA,1300,15,car,good,0
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad,1
611,48,female,1,free,moderate,rich,1240,10,car,bad,1
612,29,female,2,own,rich,little,3357,21,radio/TV,good,0
613,22,female,2,rent,little,little,3632,24,car,good,0
614,22,female,2,own,little,NA,1808,18,furniture/equipment,bad,1
615,48,male,3,own,NA,moderate,12204,48,business,good,0
616,27,male,3,free,NA,moderate,9157,60,radio/TV,good,0
617,37,male,2,rent,little,little,3676,6,car,good,0
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad,1
619,49,male,1,own,little,NA,640,12,car,good,0
620,27,male,2,own,little,moderate,3652,21,business,good,0
621,32,male,2,own,little,NA,1530,18,car,bad,1
622,38,male,2,own,NA,NA,3914,48,business,bad,1
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good,0
624,65,male,2,free,little,little,2600,18,radio/TV,bad,1
625,35,male,2,own,NA,NA,1979,15,radio/TV,good,0
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good,0
627,29,male,2,own,moderate,moderate,1437,9,car,bad,1
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good,0
629,64,male,1,own,NA,NA,3832,9,education,good,0
630,28,female,2,own,little,little,3660,24,radio/TV,good,0
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad,1
632,23,male,2,own,NA,moderate,1444,15,radio/TV,good,0
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad,1
634,25,female,1,own,little,moderate,1355,24,car,bad,1
635,47,male,2,own,little,NA,1393,12,education,good,0
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,good,0
637,21,male,2,own,little,NA,15653,60,radio/TV,good,0
638,34,female,2,own,little,NA,1493,12,radio/TV,good,0
639,26,male,2,own,little,little,4370,42,radio/TV,bad,1
640,27,female,0,own,little,little,750,18,education,bad,1
641,38,male,1,own,little,moderate,1308,15,repairs,good,0
642,40,male,3,own,moderate,NA,4623,15,education,bad,1
643,33,male,2,own,little,NA,1851,24,radio/TV,good,0
644,32,male,3,own,little,little,1880,18,radio/TV,good,0
645,27,male,2,rent,NA,NA,7980,36,business,bad,1
646,32,male,2,own,little,little,4583,30,furniture/equipment,good,0
647,26,female,2,own,quite rich,NA,1386,12,car,bad,1
648,38,male,2,free,little,rich,947,24,car,bad,1
649,40,male,1,rent,little,little,684,12,education,bad,1
650,50,male,3,free,little,little,7476,48,education,good,0
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad,1
652,45,male,2,own,little,little,2303,24,car,bad,1
653,42,male,3,own,moderate,moderate,8086,36,car,bad,1
654,35,male,2,own,little,NA,2346,24,car,good,0
655,22,male,2,free,little,little,3973,14,car,good,0
656,41,male,1,own,little,moderate,888,12,car,bad,1
657,37,male,2,own,NA,NA,10222,48,radio/TV,good,0
658,28,female,2,own,little,moderate,4221,30,business,good,0
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good,0
660,23,male,2,rent,little,rich,1297,12,radio/TV,good,0
661,23,male,2,own,NA,little,900,12,car,bad,1
662,50,male,2,own,little,NA,2241,21,furniture/equipment,good,0
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good,0
664,50,female,1,own,little,rich,1047,6,education,good,0
665,27,male,3,own,little,NA,6314,24,vacation/others,good,0
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good,0
667,27,female,2,own,little,NA,3609,48,business,good,0
668,43,male,2,rent,little,little,4843,12,car,bad,1
669,47,male,2,own,little,rich,3017,30,radio/TV,good,0
670,27,male,1,own,moderate,NA,4139,24,business,good,0
671,31,male,2,own,moderate,NA,5742,36,business,good,0
672,42,male,3,own,little,NA,10366,60,car,good,0
673,24,male,2,own,quite rich,NA,2080,6,car,good,0
674,41,male,1,own,quite rich,NA,2580,21,business,bad,1
675,26,female,3,rent,little,NA,4530,30,radio/TV,good,0
676,33,male,2,own,little,NA,5150,24,furniture/equipment,good,0
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad,1
678,64,male,1,rent,little,little,2384,24,radio/TV,good,0
679,26,female,2,own,little,NA,1453,18,radio/TV,good,0
680,56,female,2,own,little,NA,1538,6,education,good,0
681,37,male,2,free,NA,NA,2279,12,radio/TV,good,0
682,33,male,2,own,little,NA,1478,15,radio/TV,good,0
683,47,male,2,free,little,NA,5103,24,radio/TV,good,0
684,31,male,1,own,moderate,moderate,9857,36,business,good,0
685,34,male,2,free,NA,NA,6527,60,car,good,0
686,27,male,2,own,NA,rich,1347,10,radio/TV,good,0
687,30,male,2,free,moderate,moderate,2862,36,car,good,0
688,35,male,2,own,moderate,NA,2753,9,radio/TV,good,0
689,31,male,2,own,rich,little,3651,12,car,good,0
690,25,male,2,own,little,little,975,15,furniture/equipment,good,0
691,25,female,1,own,moderate,moderate,2631,15,repairs,good,0
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good,0
693,44,male,1,own,NA,little,4716,6,car,good,0
694,28,male,2,own,little,NA,2284,24,radio/TV,good,0
695,50,male,2,rent,quite rich,NA,1236,6,car,good,0
696,29,male,2,own,little,moderate,1103,12,radio/TV,good,0
697,38,female,0,own,little,NA,926,12,car,good,0
698,24,male,2,own,little,NA,1800,18,radio/TV,good,0
699,40,male,3,rent,little,rich,1905,15,education,good,0
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad,1
701,46,male,2,free,little,little,6331,48,car,bad,1
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good,0
703,41,male,2,own,moderate,moderate,2503,30,business,good,0
704,32,female,2,own,little,moderate,2528,27,business,good,0
705,35,female,2,free,quite rich,NA,5324,15,car,good,0
706,24,male,2,own,moderate,moderate,6560,48,car,bad,1
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad,1
708,25,female,2,own,little,moderate,1206,9,radio/TV,good,0
709,37,male,1,own,little,moderate,2118,9,radio/TV,good,0
710,32,male,3,own,quite rich,NA,629,18,radio/TV,good,0
711,35,female,2,free,little,little,1198,6,education,bad,1
712,46,male,3,own,NA,NA,2476,21,car,good,0
713,25,male,1,own,little,little,1138,9,radio/TV,good,0
714,27,male,3,own,little,moderate,14027,60,car,bad,1
715,63,male,2,own,NA,NA,7596,30,car,good,0
716,40,male,2,own,NA,NA,3077,30,radio/TV,good,0
717,32,male,3,free,little,NA,1505,18,radio/TV,good,0
718,31,male,2,own,NA,rich,3148,24,radio/TV,good,0
719,31,male,2,own,moderate,moderate,6148,20,car,good,0
720,34,male,3,own,little,rich,1337,9,radio/TV,bad,1
721,24,female,2,rent,rich,moderate,433,6,education,bad,1
722,24,female,1,own,little,little,1228,12,car,bad,1
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good,0
724,21,female,2,rent,little,NA,2570,27,car,bad,1
725,41,female,1,own,rich,NA,250,6,car,good,0
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,good,0
727,25,female,2,rent,little,little,1882,18,radio/TV,bad,1
728,59,female,2,rent,little,moderate,6416,48,business,bad,1
729,36,male,2,own,rich,rich,1275,24,business,good,0
730,33,male,2,own,little,moderate,6403,24,radio/TV,good,0
731,21,male,1,rent,little,little,1987,24,radio/TV,bad,1
732,44,female,1,own,little,moderate,760,8,radio/TV,good,0
733,28,female,2,rent,rich,NA,2603,24,car,good,0
734,37,female,2,own,little,NA,3380,4,car,good,0
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,good,0
736,23,female,3,rent,little,moderate,11560,24,car,bad,1
737,35,male,1,own,moderate,little,4380,18,car,good,0
738,45,male,3,own,little,NA,6761,6,car,good,0
739,26,female,1,rent,moderate,moderate,4280,30,business,bad,1
740,32,male,2,own,moderate,little,2325,24,car,good,0
741,23,male,1,own,little,moderate,1048,10,radio/TV,good,0
742,41,male,2,own,NA,NA,3160,21,radio/TV,good,0
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good,0
744,30,male,3,own,NA,little,14179,39,furniture/equipment,good,0
745,28,male,1,own,little,little,1797,13,business,good,0
746,23,female,2,rent,little,little,2511,15,car,good,0
747,37,female,1,own,little,little,1274,12,car,bad,1
748,26,male,2,own,NA,NA,5248,21,car,good,0
749,33,male,2,own,little,NA,3029,15,car,good,0
750,49,female,2,own,little,little,428,6,furniture/equipment,good,0
751,23,female,1,own,little,little,976,18,car,bad,1
752,23,female,1,rent,moderate,moderate,841,12,business,good,0
753,25,female,2,own,little,NA,5771,30,radio/TV,good,0
754,55,male,2,free,rich,NA,1555,12,repairs,bad,1
755,32,female,2,rent,NA,little,1285,24,car,bad,1
756,74,male,0,own,little,rich,1299,6,car,good,0
757,39,male,2,free,NA,rich,1271,15,radio/TV,bad,1
758,31,male,2,own,little,NA,1393,24,car,good,0
759,35,male,2,own,little,little,691,12,car,bad,1
760,59,female,2,own,NA,NA,5045,15,car,good,0
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad,1
762,24,male,1,own,little,little,2214,12,radio/TV,good,0
763,30,male,3,free,NA,NA,12680,21,car,bad,1
764,27,male,2,own,moderate,NA,2463,24,car,good,0
765,40,male,1,own,little,moderate,1155,12,radio/TV,good,0
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad,1
767,31,female,2,rent,NA,NA,2901,10,car,good,0
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good,0
769,63,male,1,own,little,NA,1655,12,radio/TV,good,0
770,26,female,2,rent,NA,little,2812,24,car,good,0
771,25,female,3,own,little,little,8065,36,education,bad,1
772,36,male,3,own,little,NA,3275,21,car,good,0
773,52,male,2,own,moderate,NA,2223,24,radio/TV,good,0
774,66,male,0,free,quite rich,rich,1480,12,car,good,0
775,25,female,2,rent,NA,little,1371,24,car,bad,1
776,37,male,2,own,little,NA,3535,36,car,good,0
777,25,female,2,own,little,little,3509,18,radio/TV,good,0
778,38,male,3,own,rich,NA,5711,36,car,good,0
779,67,female,2,own,little,moderate,3872,18,repairs,good,0
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,1
781,60,male,2,own,rich,NA,1940,24,car,good,0
782,31,male,1,own,little,moderate,1410,12,education,good,0
783,23,female,1,own,moderate,moderate,836,12,car,bad,1
784,60,male,3,own,NA,moderate,6468,20,car,good,0
785,35,male,1,own,rich,moderate,1941,18,business,good,0
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,good,0
787,38,male,2,own,NA,NA,2751,48,car,good,0
788,50,male,2,free,little,moderate,6224,48,education,bad,1
789,27,male,2,own,little,little,5998,40,education,bad,1
790,39,female,2,own,little,moderate,1188,21,business,bad,1
791,41,male,3,own,NA,NA,6313,24,car,good,0
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,good,0
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good,0
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good,0
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good,0
796,51,male,2,free,NA,little,7511,18,car,bad,1
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,good,0
798,54,male,2,own,NA,NA,717,24,car,good,0
799,35,male,0,own,NA,moderate,1549,9,car,good,0
800,54,male,2,free,little,NA,1597,24,education,good,0
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good,0
802,24,female,2,own,little,little,4272,20,furniture/equipment,good,0
803,35,male,2,own,NA,NA,976,12,radio/TV,good,0
804,24,female,0,rent,NA,moderate,7472,12,car,good,0
805,24,male,2,own,little,little,9271,36,car,bad,1
806,26,male,1,own,little,moderate,590,6,radio/TV,good,0
807,65,male,2,own,NA,NA,930,12,radio/TV,good,0
808,55,male,3,free,little,moderate,9283,42,car,good,0
809,26,female,0,rent,little,moderate,1778,15,car,bad,1
810,26,male,2,own,little,moderate,907,8,business,good,0
811,28,male,1,own,little,moderate,484,6,radio/TV,good,0
812,24,male,2,own,little,little,9629,36,car,bad,1
813,54,male,2,own,little,little,3051,48,domestic appliances,bad,1
814,46,male,2,free,little,little,3931,48,car,bad,1
815,54,female,2,rent,little,moderate,7432,36,car,good,0
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good,0
817,24,female,2,rent,little,NA,1554,6,radio/TV,good,0
818,43,male,3,own,little,little,15857,36,vacation/others,good,0
819,26,male,2,own,little,little,1345,18,radio/TV,bad,1
820,27,male,2,own,little,NA,1101,12,car,good,0
821,24,male,2,own,little,rich,3016,12,radio/TV,good,0
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad,1
823,47,male,1,own,little,little,731,8,car,good,0
824,35,male,3,own,little,NA,3780,18,furniture/equipment,good,0
825,30,male,2,own,little,little,1602,21,car,good,0
826,33,female,2,rent,little,little,3966,18,car,bad,1
827,36,male,2,own,little,NA,4165,18,business,bad,1
828,47,male,2,free,NA,little,8335,36,car,bad,1
829,38,male,2,free,NA,moderate,6681,48,business,good,0
830,44,male,2,own,quite rich,NA,2375,24,business,good,0
831,23,female,2,rent,little,little,1216,18,car,bad,1
832,29,male,2,rent,little,little,11816,45,business,bad,1
833,42,female,2,own,NA,moderate,5084,24,radio/TV,good,0
834,25,female,1,own,little,rich,2327,15,radio/TV,bad,1
835,48,male,2,own,little,little,1082,12,car,bad,1
836,21,female,2,own,NA,NA,886,12,radio/TV,good,0
837,23,female,1,rent,little,NA,601,4,furniture/equipment,good,0
838,63,male,2,own,little,little,2957,24,car,good,0
839,46,male,2,own,little,NA,2611,24,radio/TV,good,0
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad,1
841,28,male,1,own,little,NA,2993,21,car,good,0
842,23,female,2,own,little,NA,1943,18,repairs,bad,1
843,50,male,2,own,little,NA,1559,24,business,good,0
844,47,male,2,own,little,NA,3422,18,furniture/equipment,good,0
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,good,0
846,68,male,2,rent,NA,NA,6761,18,car,bad,1
847,28,male,2,own,little,NA,1249,24,car,good,0
848,59,male,2,own,little,little,1364,9,radio/TV,good,0
849,57,male,1,own,little,little,709,12,radio/TV,bad,1
850,33,male,2,rent,little,little,2235,20,car,bad,1
851,43,male,2,own,NA,NA,4042,24,car,good,0
852,35,male,2,free,little,NA,1471,15,radio/TV,good,0
853,32,male,1,free,little,little,1442,18,car,bad,1
854,45,male,2,own,little,NA,10875,36,car,good,0
855,33,male,2,own,moderate,NA,1474,24,car,good,0
856,40,female,2,own,NA,NA,894,10,education,good,0
857,28,male,2,free,little,NA,3343,15,furniture/equipment,good,0
858,29,female,2,own,little,little,3959,15,car,bad,1
859,26,male,2,rent,moderate,NA,3577,9,car,good,0
860,27,male,2,own,rich,NA,5804,24,car,good,0
861,28,male,2,own,little,NA,2169,18,business,bad,1
862,35,female,2,own,little,little,2439,24,radio/TV,bad,1
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,good,0
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad,1
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good,0
866,27,female,2,own,little,little,2389,18,radio/TV,good,0
867,42,male,2,own,little,NA,3331,12,furniture/equipment,good,0
868,37,male,2,own,NA,NA,7409,36,business,good,0
869,24,female,2,rent,little,little,652,12,furniture/equipment,good,0
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good,0
871,46,male,2,own,little,rich,1343,6,car,good,0
872,26,male,2,own,moderate,little,1382,24,business,good,0
873,24,female,2,own,NA,NA,874,15,domestic appliances,good,0
874,29,male,1,own,little,little,3590,12,furniture/equipment,good,0
875,40,female,2,own,rich,moderate,1322,11,car,good,0
876,36,male,3,free,little,little,1940,18,radio/TV,good,0
877,28,male,2,own,little,NA,3595,36,radio/TV,good,0
878,27,male,3,free,little,little,1422,9,car,bad,1
879,36,male,2,own,NA,NA,6742,30,radio/TV,good,0
880,38,male,3,own,little,NA,7814,24,car,good,0
881,48,male,2,free,NA,NA,9277,24,car,good,0
882,36,male,2,own,NA,moderate,2181,30,car,good,0
883,65,female,0,own,little,NA,1098,18,radio/TV,good,0
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad,1
885,53,female,2,own,little,little,795,12,education,bad,1
886,34,male,2,own,NA,moderate,2825,24,business,good,0
887,23,male,2,own,little,moderate,15672,48,business,bad,1
888,34,male,3,own,little,NA,6614,36,car,good,0
889,40,male,2,rent,NA,NA,7824,28,car,good,0
890,43,male,3,own,little,little,2442,27,business,good,0
891,46,male,2,own,little,NA,1829,15,radio/TV,good,0
892,38,male,1,own,little,little,2171,12,car,good,0
893,34,male,2,own,little,moderate,5800,36,car,good,0
894,29,male,2,own,NA,NA,1169,18,radio/TV,good,0
895,31,male,3,own,NA,NA,8947,36,car,good,0
896,28,female,3,rent,little,little,2606,21,radio/TV,good,0
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,good,0
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good,0
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad,1
900,43,male,2,rent,little,little,2625,16,car,bad,1
901,44,male,2,own,NA,NA,3485,20,car,good,0
902,42,male,2,free,NA,NA,10477,36,car,good,0
903,40,male,2,rent,NA,NA,1386,15,radio/TV,good,0
904,36,male,3,own,little,NA,1278,24,radio/TV,good,0
905,20,male,3,rent,little,little,1107,12,radio/TV,good,0
906,24,male,1,own,NA,little,3763,21,car,good,0
907,27,male,2,own,NA,moderate,3711,36,education,good,0
908,46,female,1,own,little,NA,3594,15,car,good,0
909,33,female,1,own,NA,moderate,3195,9,car,good,0
910,34,female,2,own,little,NA,4454,36,radio/TV,good,0
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad,1
912,25,female,2,own,NA,moderate,2991,30,radio/TV,good,0
913,28,male,2,own,rich,NA,2142,11,business,good,0
914,31,male,2,rent,little,little,3161,24,business,bad,1
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad,1
916,32,male,2,own,moderate,NA,2848,10,car,good,0
917,68,male,3,own,little,little,14896,6,car,bad,1
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad,1
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad,1
920,28,female,2,own,little,NA,1817,18,furniture/equipment,good,0
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,good,0
922,22,female,2,rent,little,little,1366,9,radio/TV,bad,1
923,30,male,2,rent,little,moderate,2002,12,car,good,0
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad,1
925,46,male,2,own,little,little,697,12,car,bad,1
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good,0
927,39,male,2,free,little,little,10297,48,car,bad,1
928,58,male,2,own,NA,NA,1867,30,radio/TV,good,0
929,43,male,1,own,little,little,1344,12,car,good,0
930,24,male,1,own,little,little,1747,24,furniture/equipment,good,0
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad,1
932,30,male,2,own,little,NA,1224,9,car,good,0
933,42,male,2,own,quite rich,NA,522,12,radio/TV,good,0
934,23,female,2,own,little,little,1498,12,radio/TV,good,0
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad,1
936,28,female,1,own,little,rich,745,9,radio/TV,bad,1
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good,0
938,42,male,2,free,little,moderate,6288,60,education,bad,1
939,46,male,3,own,NA,NA,6842,24,car,good,0
940,45,male,3,own,NA,NA,3527,12,car,good,0
941,31,male,1,own,little,NA,1546,10,car,good,0
942,31,male,2,own,NA,NA,929,24,furniture/equipment,good,0
943,42,male,1,own,little,NA,1455,4,car,good,0
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good,0
945,30,female,2,own,quite rich,moderate,8358,48,car,good,0
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad,1
947,38,male,3,own,NA,NA,2859,12,car,good,0
948,43,male,1,own,little,NA,1533,18,furniture/equipment,bad,1
